Order Number,Start Date,End Date,Line,Shift,Posting date,POT Min,POT Hour,Notification Number,Equiment,Downtime(in Secods),Breakdown,Group,Description,WERKS CODE,WERKS
000010001023,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,000010003846,000000000010000940,,no breakdown,U-STEAM,UTI_BOILER,A112,Kaduna Noodles
000010001023,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,000010003849,000000000010000643,3,breakdown,,,A112,Kaduna Noodles
000010001024,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,000010003886,,40.733333333333334,breakdown,,,A112,Kaduna Noodles
000010001024,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,000010003887,,40,breakdown,,,A112,Kaduna Noodles
000030000756,03/05/2023 00:00,03/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000757,03/05/2023 00:00,03/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000758,03/05/2023 00:00,03/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000759,03/05/2023 00:00,03/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001029,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001030,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,000010004135,000000000010000645,,no breakdown,,,A112,Kaduna Noodles
000010001030,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,000010004138,,6,breakdown,,,A112,Kaduna Noodles
000030000762,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000763,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000764,04/05/2023 00:00,04/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000765,04/05/2023 00:00,04/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001035,05/05/2023 00:00,05/05/2023 00:00,Line 1,1,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001036,06/05/2023 00:00,06/05/2023 00:00,Line 1,2,05/05/2023 00:00,0,0,000010004263,,0.17,breakdown,,,A112,Kaduna Noodles
000030000770,05/05/2023 00:00,05/05/2023 00:00,Line 1,1,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000771,05/05/2023 00:00,05/05/2023 00:00,Line 1,1,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000772,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000773,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001122,06/05/2023 00:00,06/05/2023 00:00,Line 1,1,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001123,07/05/2023 00:00,07/05/2023 00:00,Line 1,2,06/05/2023 00:00,0,0,000010004440,000000000010001012,2,breakdown,,,A112,Kaduna Noodles
000030000785,06/05/2023 00:00,06/05/2023 00:00,Line 1,1,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000786,06/05/2023 00:00,06/05/2023 00:00,Line 1,2,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000787,06/05/2023 00:00,06/05/2023 00:00,Line 1,1,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000788,06/05/2023 00:00,06/05/2023 00:00,Line 1,2,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001186,08/05/2023 00:00,08/05/2023 00:00,Line 1,1,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001187,08/05/2023 00:00,08/05/2023 00:00,Line 1,2,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000791,07/05/2023 00:00,07/05/2023 00:00,Line 1,1,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000792,07/05/2023 00:00,07/05/2023 00:00,Line 1,2,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000795,07/05/2023 00:00,07/05/2023 00:00,Line 1,1,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000796,08/05/2023 00:00,08/05/2023 00:00,Line 1,2,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000799,08/05/2023 00:00,08/05/2023 00:00,Line 1,1,08/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000800,08/05/2023 00:00,08/05/2023 00:00,Line 1,2,08/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000801,08/05/2023 00:00,08/05/2023 00:00,Line 1,1,08/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000802,08/05/2023 00:00,08/05/2023 00:00,Line 1,2,08/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000803,09/05/2023 00:00,09/05/2023 00:00,Line 1,1,09/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000804,09/05/2023 00:00,09/05/2023 00:00,Line 1,2,09/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000805,09/05/2023 00:00,09/05/2023 00:00,Line 1,1,09/05/2023 00:00,0,0,000010004807,000000000010001342,,no breakdown,,,A112,Kaduna Noodles
000030000806,09/05/2023 00:00,09/05/2023 00:00,Line 1,2,09/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000813,10/05/2023 00:00,10/05/2023 00:00,Line 1,1,10/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000814,10/05/2023 00:00,10/05/2023 00:00,Line 1,2,10/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000815,10/05/2023 00:00,10/05/2023 00:00,Line 1,1,10/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000816,10/05/2023 00:00,10/05/2023 00:00,Line 1,2,10/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000829,11/05/2023 00:00,11/05/2023 00:00,Line 1,1,11/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000830,11/05/2023 00:00,11/05/2023 00:00,Line 1,2,11/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000831,11/05/2023 00:00,11/05/2023 00:00,Line 1,1,11/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000832,11/05/2023 00:00,11/05/2023 00:00,Line 1,2,11/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000837,12/05/2023 00:00,12/05/2023 00:00,Line 1,1,12/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000838,12/05/2023 00:00,12/05/2023 00:00,Line 1,2,12/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000839,12/05/2023 00:00,12/05/2023 00:00,Line 1,2,12/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000840,12/05/2023 00:00,12/05/2023 00:00,Line 1,1,12/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000851,13/05/2023 00:00,13/05/2023 00:00,Line 1,1,13/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000852,13/05/2023 00:00,13/05/2023 00:00,Line 1,2,13/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000853,13/05/2023 00:00,13/05/2023 00:00,Line 1,1,13/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000854,13/05/2023 00:00,13/05/2023 00:00,Line 1,2,13/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000857,15/05/2023 00:00,15/05/2023 00:00,Line 1,1,15/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000858,15/05/2023 00:00,15/05/2023 00:00,Line 1,2,15/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000859,15/05/2023 00:00,15/05/2023 00:00,Line 1,1,15/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000860,15/05/2023 00:00,15/05/2023 00:00,Line 1,2,15/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000865,16/05/2023 00:00,16/05/2023 00:00,Line 1,1,16/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000866,16/05/2023 00:00,16/05/2023 00:00,Line 1,2,16/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000867,16/05/2023 00:00,16/05/2023 00:00,Line 1,1,16/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000868,16/05/2023 00:00,16/05/2023 00:00,Line 1,2,16/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000873,17/05/2023 00:00,17/05/2023 00:00,Line 1,1,17/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000874,17/05/2023 00:00,17/05/2023 00:00,Line 1,2,17/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000875,17/05/2023 00:00,17/05/2023 00:00,Line 1,1,17/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000876,17/05/2023 00:00,17/05/2023 00:00,Line 1,2,17/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000882,18/05/2023 00:00,18/05/2023 00:00,Line 1,1,18/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000883,18/05/2023 00:00,18/05/2023 00:00,Line 1,2,18/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000884,18/05/2023 00:00,18/05/2023 00:00,Line 1,1,18/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000885,18/05/2023 00:00,18/05/2023 00:00,Line 1,2,18/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000893,19/05/2023 00:00,19/05/2023 00:00,Line 1,1,19/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000894,19/05/2023 00:00,19/05/2023 00:00,Line 1,2,19/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000895,19/05/2023 00:00,19/05/2023 00:00,Line 1,1,19/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000896,19/05/2023 00:00,19/05/2023 00:00,Line 1,2,19/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000905,20/05/2023 00:00,20/05/2023 00:00,Line 1,1,20/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000906,20/05/2023 00:00,20/05/2023 00:00,Line 1,2,20/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000907,20/05/2023 00:00,20/05/2023 00:00,Line 1,1,20/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000908,20/05/2023 00:00,20/05/2023 00:00,Line 1,2,20/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006816,000000000010000907,33,breakdown,E-CC,ENG_CARTON_CASER,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006855,000000000010000932,12,breakdown,E-FRY,ENG_FRYER,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006857,000000000010000962,30,breakdown,,,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006850,000000000010000987,10,breakdown,,,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006851,000000000010000987,20,breakdown,,,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006853,000000000010000987,10,breakdown,,,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006854,000000000010000987,17,breakdown,,,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006856,000000000010000987,20,breakdown,,,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006921,000000000010000987,10,breakdown,,,A112,Kaduna Noodles
000010001698,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,000010006830,000000000010000989,24,breakdown,,,A112,Kaduna Noodles
000010001699,23/05/2023 00:00,23/05/2023 00:00,Line 1,2,22/05/2023 00:00,0,0,000010007013,000000000010000952,0.17,breakdown,,,A112,Kaduna Noodles
000010001699,23/05/2023 00:00,23/05/2023 00:00,Line 1,2,22/05/2023 00:00,0,0,000010006988,000000000010000987,0.17,breakdown,,,A112,Kaduna Noodles
000010001699,23/05/2023 00:00,23/05/2023 00:00,Line 1,2,22/05/2023 00:00,0,0,000010006997,000000000010001015,0.17,breakdown,,,A112,Kaduna Noodles
000010001699,23/05/2023 00:00,23/05/2023 00:00,Line 1,2,22/05/2023 00:00,0,0,000010006999,000000000010001015,0.17,breakdown,,,A112,Kaduna Noodles
000010001699,23/05/2023 00:00,23/05/2023 00:00,Line 1,2,22/05/2023 00:00,0,0,000010007010,000000000010001015,0.17,breakdown,,,A112,Kaduna Noodles
000010001699,23/05/2023 00:00,23/05/2023 00:00,Line 1,2,22/05/2023 00:00,0,0,000010007014,000000000010001015,0.17,breakdown,,,A112,Kaduna Noodles
000030000909,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000910,22/05/2023 00:00,22/05/2023 00:00,Line 1,2,22/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000911,22/05/2023 00:00,22/05/2023 00:00,Line 1,1,22/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000912,22/05/2023 00:00,22/05/2023 00:00,Line 1,2,22/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001724,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,000010007050,000000000010000962,63,breakdown,E-AD,ENG_AUTO DISPENSER,A112,Kaduna Noodles
000010001724,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,000010007052,000000000010000981,15,breakdown,E-PKG,ENG_PACKAGING,A112,Kaduna Noodles
000010001724,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,000010007054,000000000010000981,14,breakdown,E-PKG,ENG_PACKAGING,A112,Kaduna Noodles
000010001724,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,000010007081,000000000010000987,10,breakdown,,,A112,Kaduna Noodles
000010001724,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,000010007094,000000000010001006,3,breakdown,,,A112,Kaduna Noodles
000010001724,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,000010007020,000000000010001015,24,breakdown,,,A112,Kaduna Noodles
000010001724,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,000010007030,000000000010001015,8,breakdown,,,A112,Kaduna Noodles
000010001724,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,000010007053,000000000010001015,6,breakdown,,,A112,Kaduna Noodles
000030000924,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000925,23/05/2023 00:00,23/05/2023 00:00,Line 1,2,23/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000926,23/05/2023 00:00,23/05/2023 00:00,Line 1,1,23/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000927,23/05/2023 00:00,23/05/2023 00:00,Line 1,2,23/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000934,24/05/2023 00:00,24/05/2023 00:00,Line 1,1,24/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000935,24/05/2023 00:00,24/05/2023 00:00,Line 1,2,24/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000936,24/05/2023 00:00,24/05/2023 00:00,Line 1,1,24/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000937,24/05/2023 00:00,24/05/2023 00:00,Line 1,2,24/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000944,25/05/2023 00:00,25/05/2023 00:00,Line 1,1,25/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000945,26/05/2023 00:00,26/05/2023 00:00,Line 1,2,25/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000946,25/05/2023 00:00,25/05/2023 00:00,Line 1,1,25/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000947,26/05/2023 00:00,26/05/2023 00:00,Line 1,2,25/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000956,26/05/2023 00:00,26/05/2023 00:00,Line 1,1,26/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000957,26/05/2023 00:00,26/05/2023 00:00,Line 1,2,26/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000958,26/05/2023 00:00,26/05/2023 00:00,Line 1,1,26/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000959,26/05/2023 00:00,26/05/2023 00:00,Line 1,2,26/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000962,27/05/2023 00:00,27/05/2023 00:00,Line 1,1,27/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000963,27/05/2023 00:00,27/05/2023 00:00,Line 1,2,27/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000964,27/05/2023 00:00,27/05/2023 00:00,Line 1,1,27/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000965,27/05/2023 00:00,27/05/2023 00:00,Line 1,2,27/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000968,29/05/2023 00:00,29/05/2023 00:00,Line 1,1,29/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000969,29/05/2023 00:00,29/05/2023 00:00,Line 1,2,29/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000970,29/05/2023 00:00,29/05/2023 00:00,Line 1,1,29/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000971,29/05/2023 00:00,29/05/2023 00:00,Line 1,2,29/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000974,30/05/2023 00:00,30/05/2023 00:00,Line 1,1,30/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000975,30/05/2023 00:00,30/05/2023 00:00,Line 1,2,30/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000976,30/05/2023 00:00,30/05/2023 00:00,Line 1,1,30/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000977,30/05/2023 00:00,30/05/2023 00:00,Line 1,2,30/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000982,31/05/2023 00:00,31/05/2023 00:00,Line 1,1,31/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000983,31/05/2023 00:00,31/05/2023 00:00,Line 1,2,31/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000984,31/05/2023 00:00,31/05/2023 00:00,Line 1,1,31/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000998,01/06/2023 00:00,01/06/2023 00:00,Line 1,2,31/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000992,01/06/2023 00:00,01/06/2023 00:00,Line 1,1,01/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000993,01/06/2023 00:00,01/06/2023 00:00,Line 1,2,01/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000994,01/06/2023 00:00,01/06/2023 00:00,Line 1,1,01/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000995,01/06/2023 00:00,01/06/2023 00:00,Line 1,2,01/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001003,02/06/2023 00:00,02/06/2023 00:00,Line 1,1,02/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001004,02/06/2023 00:00,02/06/2023 00:00,Line 1,2,02/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001005,02/06/2023 00:00,02/06/2023 00:00,Line 1,1,02/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001006,02/06/2023 00:00,02/06/2023 00:00,Line 1,2,02/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001019,05/06/2023 00:00,05/06/2023 00:00,Line 1,1,05/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001020,05/06/2023 00:00,05/06/2023 00:00,Line 1,2,05/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001021,05/06/2023 00:00,05/06/2023 00:00,Line 1,1,05/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001022,05/06/2023 00:00,05/06/2023 00:00,Line 1,2,05/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001026,06/06/2023 00:00,06/06/2023 00:00,Line 1,1,06/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001027,06/06/2023 00:00,06/06/2023 00:00,Line 1,2,06/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001029,06/06/2023 00:00,06/06/2023 00:00,Line 1,1,06/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001030,06/06/2023 00:00,06/06/2023 00:00,Line 1,2,06/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001035,07/06/2023 00:00,07/06/2023 00:00,Line 1,1,07/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001036,07/06/2023 00:00,07/06/2023 00:00,Line 1,2,07/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001037,07/06/2023 00:00,07/06/2023 00:00,Line 1,1,07/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001038,07/06/2023 00:00,07/06/2023 00:00,Line 1,2,07/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001045,08/06/2023 00:00,08/06/2023 00:00,Line 1,1,08/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001046,08/06/2023 00:00,08/06/2023 00:00,Line 1,2,08/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001047,08/06/2023 00:00,08/06/2023 00:00,Line 1,1,08/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001048,08/06/2023 00:00,08/06/2023 00:00,Line 1,2,08/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001056,09/06/2023 00:00,09/06/2023 00:00,Line 1,1,09/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001057,09/06/2023 00:00,09/06/2023 00:00,Line 1,2,09/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001058,09/06/2023 00:00,09/06/2023 00:00,Line 1,1,09/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001059,09/06/2023 00:00,09/06/2023 00:00,Line 1,2,09/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001067,10/06/2023 00:00,10/06/2023 00:00,Line 1,1,10/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001068,10/06/2023 00:00,10/06/2023 00:00,Line 1,2,10/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001069,10/06/2023 00:00,10/06/2023 00:00,Line 1,1,10/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030001070,10/06/2023 00:00,10/06/2023 00:00,Line 1,2,10/06/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010002372,12/06/2023 00:00,12/06/2023 00:00,Line 1,1,12/06/2023 00:00,0,0,000010010029,000000000010000960,5,breakdown,E-AD,ENG_AUTO DISPENSER,A112,Kaduna Noodles
000010002372,12/06/2023 00:00,12/06/2023 00:00,Line 1,1,12/06/2023 00:00,0,0,000010010028,000000000010000989,21,breakdown,E-PKG,ENG_PACKAGING,A112,Kaduna Noodles
000010002372,12/06/2023 00:00,12/06/2023 00:00,Line 1,1,12/06/2023 00:00,0,0,000010010027,000000000010000993,80,breakdown,E-PKCD,ENG_PACKAGING_CODING,A112,Kaduna Noodles
000010002373,13/06/2023 00:00,13/06/2023 00:00,Line 1,2,12/06/2023 00:00,0,0,000010010184,000000000010000960,,no breakdown,,,A112,Kaduna Noodles
000010002373,13/06/2023 00:00,13/06/2023 00:00,Line 1,2,12/06/2023 00:00,0,0,000010010186,000000000010000977,,no breakdown,,,A112,Kaduna Noodles
000010002373,13/06/2023 00:00,13/06/2023 00:00,Line 1,2,12/06/2023 00:00,0,0,000010010185,000000000010001008,,no breakdown,,,A112,Kaduna Noodles
000010002373,13/06/2023 00:00,13/06/2023 00:00,Line 1,2,12/06/2023 00:00,0,0,000010010075,000000000010000960,9,breakdown,E-AD,ENG_AUTO DISPENSER,A112,Kaduna Noodles
000010002373,13/06/2023 00:00,13/06/2023 00:00,Line 1,2,12/06/2023 00:00,0,0,000010010083,000000000010000962,5,breakdown,E-AD,ENG_AUTO DISPENSER,A112,Kaduna Noodles
000010002373,13/06/2023 00:00,13/06/2023 00:00,Line 1,2,12/06/2023 00:00,0,0,000010010084,000000000010000962,10,breakdown,E-AD,ENG_AUTO DISPENSER,A112,Kaduna Noodles
